Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation Currency (in USD),Organization Description,Organization Industries,Organization Location,Organization Website,Organization Revenue Range,Funding Status,Investor Names
Seed Round - Moxie,https://www.crunchbase.com/funding_round/moxie-95e4-seed--98952b49,Moxie,https://www.crunchbase.com/organization/moxie-95e4,Seed,6300000,USD,6300000,2021-04-08,,,,Moxie is an online fitness platform that provides its users with fitness routines and online instructors.,"Fitness, Internet, Wellness","New York, New York, United States, North America",https://moxie.xyz,,Seed,"500 Startups, Bessemer Venture Partners, Bob Zipp, Bruce Bell, Burst Capital, Gokul Rajaram, Grady Burnett, Greycroft, Howard Morgan, Interplay Ventures, Manik Gupta, Mark Kingdon, Resolute Ventures, Taurus Ventures"
Series A - InfuseAI,https://www.crunchbase.com/funding_round/infuseai-series-a--c28761df,InfuseAI,https://www.crunchbase.com/organization/infuseai,Series A,4300000,USD,4300000,2021-04-06,,,,"InfuseAI provides PrimeHub AI platform, which helps enterprises to develop, train, and deploy AI models 10 times faster.","Artificial Intelligence, Machine Learning, Software","Taipei, T'ai-pei, Taiwan, Asia",https://www.infuseai.io,,Early Stage Venture,"500 Startups, Hive Ventures, Silicon Valley Taiwan Investments, TopTaiwan, Wistron Corporation"
Seed Round - Quantum Platform,https://www.crunchbase.com/funding_round/quantum-platform-seed--0202459f,Quantum Platform,https://www.crunchbase.com/organization/quantum-platform,Seed,2600000,USD,2600000,2021-04-04,,,,Quantum Platform is a business-to-business product platform for sampling solutions.,"B2B, E-Commerce, Fast-Moving Consumer Goods, Product Research","Jeddah, Makkah, Saudi Arabia, Asia",https://www.quantums.com.sa/#monetize1,,Seed,"500 Startups, Tech Invest Com, Vision Ventures"
Series A - Lendo,https://www.crunchbase.com/funding_round/lendo-bdcc-series-a--3c0bceb9,Lendo,https://www.crunchbase.com/organization/lendo-bdcc,Series A,7200000,USD,7200000,2021-03-14,,,,Lendo is a fintech company that offers a peer-to-peer lending platform with core focus towards SMEs debt finance.,"Finance, Financial Services, FinTech","Riyadh, Ar Riyad, Saudi Arabia, Asia",https://lendoapp.com/,,Early Stage Venture,"500 Startups, Derayah Venture Capital, Impact46, SEEDRA, Shorooq Partners"
Seed Round - Ryu Games,https://www.crunchbase.com/funding_round/ryu-games-seed--39446744,Ryu Games,https://www.crunchbase.com/organization/ryu-games,Seed,2300000,USD,2300000,2021-03-25,,,,Changing the way people make and play mobile games,"Developer Platform, eSports, Gaming, Media and Entertainment, Mobile, Mobile Apps, Mobile Payments, Social Network, Software, Video Games","San Francisco, California, United States, North America",https://ryu.games,Less than $1M,Seed,"500 Startups, Asymmetry Ventures, David B. Kirk, INP Capital, MGV Capital Group, Side Door Ventures, Velo Partners"
Series A - App Samurai,https://www.crunchbase.com/funding_round/app-samurai-series-a--3e9ee25c,App Samurai,https://www.crunchbase.com/organization/app-samurai,Series A,2400000,USD,2400000,2020-02-25,,,,App Samurai is a mobile marketing technology company providing pinpoint solutions with in-house technologies.,"Advertising, Enterprise Applications, iOS, Marketing, Mobile Apps","San Francisco, California, United States, North America",https://appsamurai.com/,$1M to $10M,Early Stage Venture,"212, 500 Startups, Collective Spark, Degerhan Usluel"
Series A - Mattermark,https://www.crunchbase.com/funding_round/mattermark-series-a--3df47e38,Mattermark,https://www.crunchbase.com/organization/mattermark,Series A,6500000,USD,6500000,2014-12-16,18600000,USD,18600000,Mattermark is a data platform for venture capital companies to quantify signals of growing and potentially lucrative start-ups.,"Big Data, Data Mining, Data Visualization, Enterprise Software, SaaS, Software, Venture Capital","Orinda, California, United States, North America",https://mattermark.com,$10M to $50M,M&A,"500 Startups, ACME Capital, Andreessen Horowitz, Arena Ventures, Carter Rabasa, Damien Tanner, Daniel Clark, DCVC, Drummond Road Capital, Eileen Burbidge, Elliot Loh, Enrico Pandian, Eric Ries, Felicis Ventures, FG Angels, Flybridge, Great Oaks Venture Capital, Height Securities, Ignition Partners, Inflection Ventures, Jay Wiley, Jeff Lawson, Jesse Engle, Manyam Mallela, Marc Bell Ventures, Matt Monahan, Michael Liou, Naveen Selvadurai, New Enterprise Associates, Paige Craig, Pear VC, Raju Indukuri, Sherpa Venture Capital, Shervin Pishevar, SierraMaya360, Slow Ventures, Steve Loughlin, Streamlined Ventures, Structure Capital, Switch Ventures, T. Trent Gegax, The Gramercy Fund, Ullas Naik, Version One Ventures, William Mougayar, Y Combinator"
Seed Round - Friz,https://www.crunchbase.com/funding_round/feige-27e7-seed--f7ed521f,Friz,https://www.crunchbase.com/organization/feige-27e7,Seed,,,,2020-12-07,,,,Friz develops credit cards and credit lines for the brave and relentless freelancers of Southeast Asia.,"Banking, Credit Cards, Finance","Singapore, Central Region, Singapore, Asia",https://www.usefriz.com,,Seed,"500 Durians, 500 Startups, Iterative, Y Combinator"
Seed Round - BlockCypher,https://www.crunchbase.com/funding_round/blockcypher-seed--7ee20d44,BlockCypher,https://www.crunchbase.com/organization/blockcypher,Seed,3100000,USD,3100000,2015-01-14,,,,BlockCypher is a cloud-optimized platform powering blockchain applications reliably and at-scale.,"Bitcoin, Cloud Infrastructure","Redwood City, California, United States, North America",http://www.blockcypher.com/,$10M to $50M,Seed,"500 Startups, Blockchain Capital, Boost VC, Cyril Moutran, Evan Cheng, Foundation Capital, Future\Perfect Ventures, Granite Ventures, Jerry Yang, Jesse Draper, Kenneth Goldman, New Enterprise Associates, Pegasus Tech Ventures, QueensBridge Venture Partners, Sanjiva Weerawarana, Stephane Philipakis, Streamlined Ventures, Tim Draper, TriplePoint Capital, Voylet Capital"
Seed Round - Talently,https://www.crunchbase.com/funding_round/talently-seed--c3186e40,Talently,https://www.crunchbase.com/organization/talently,Seed,650000,USD,650000,2021-02-26,,,,"Talently offers an intensive program that helps software developers get a better job in the technology industry, anywhere in the world.","Developer Platform, EdTech, Education, Software, Software Engineering, Training","Lima, Lima, Peru, South America",https://talently.tech/,,Seed,"500 Startups, Alaya Capital Partners, MrPink VC, PowerVentures, UTEC Ventures, Winnipeg Capital"
