Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation Currency (in USD),Organization Description,Organization Industries,Organization Location,Organization Website,Organization Revenue Range,Funding Status,Investor Names
Seed Round - Realworld,https://www.crunchbase.com/funding_round/real-world-playbook-seed--0881a11b,Realworld,https://www.crunchbase.com/organization/real-world-playbook,Seed,3400000,USD,3400000,2021-04-09,,,,"Realworld is a platform and community to help navigate adulthood and its life moments, starting with graduation.","Consumer, Education, Human Resources, Information Technology","New York, New York, United States, North America",https://www.realworldplaybook.com,,Seed,"Amplifyher Ventures, Bezos Expeditions, Centre Street Partners, Copper Wire Ventures, Fitz Gate Ventures, Great Oaks Venture Capital, Human Ventures, Knightsgate Ventures, Techstars, The Helm, Underdog Labs"
Pre Seed Round - Decorte Future Industries,https://www.crunchbase.com/funding_round/decorte-future-industries-pre-seed--1fe053e4,Decorte Future Industries,https://www.crunchbase.com/organization/decorte-future-industries,Pre-Seed,585000,USD,585000,2021-03-25,4118355,USD,4118355,Augmenting humanity through intelligent clothing.,"Consumer Goods, Elder Care, Fitness, Health Care, Home Health Care, Internet of Things, Nursing and Residential Care, Quantified Self, Wearables, Wellness","Cambridge, Cambridgeshire, United Kingdom, Europe",https://www.decortefutureindustries.com,,Seed,"Daniel Steele, Innovate UK, Linda Jiang, Mike Muller, Richard Fearn, Rogier van Willigen, Sam Harris, Susan Standiford, Techstars, Techstars London Accelerator"
Seed Round - Pixxel,https://www.crunchbase.com/funding_round/pixxel-81c6-seed--71f6dc90,Pixxel,https://www.crunchbase.com/organization/pixxel-81c6,Seed,2300000,USD,2300000,2021-03-17,,,,Pixxel is a Bengaluru-based space technology startup building a constellation of advanced earth imaging small satellites.,Aerospace,"Bengaluru, Karnataka, India, Asia",https://pixxel.space,,Seed,"Blume Ventures, growX ventures, Lightspeed Venture Partners, Omnivore, Ryan Johnson, Techstars"
Seed Round - Valyuu.com,https://www.crunchbase.com/funding_round/valyuu-com-seed--b20d3f30,Valyuu.com,https://www.crunchbase.com/organization/valyuu-com,Seed,100000,USD,100000,2021-04-01,3000000,USD,3000000,Valyuu has created a Circular Economy Marketplace to connect consumers and organizations who have unused electronic products with companies that give these products a second life.,"Consumer Electronics, E-Commerce, Internet, Marketplace","Rotterdam, Zuid-Holland, The Netherlands, Europe",https://valyuu.com/,,Seed,Techstars
Seed Round - oDoc,https://www.crunchbase.com/funding_round/odoc-seed--db367b21,oDoc,https://www.crunchbase.com/organization/odoc,Seed,1000000,USD,1000000,2021-02-23,,,,Telemedicine for Emerging Asia,"Health Care, Information Services, Information Technology, Medical Device","Colombo, Western, Sri Lanka, Asia",http://odoc.life,$1M to $10M,Seed,"Bill Lynch, Cherif Habib, Hustle Fund, Leonard Lynch, Techstars, Unpopular Ventures, Vir Kashyap"
Pre Seed Round - Realworld,https://www.crunchbase.com/funding_round/real-world-playbook-pre-seed--c6da4d15,Realworld,https://www.crunchbase.com/organization/real-world-playbook,Pre-Seed,1100000,USD,1100000,2019-07-15,,,,"Realworld is a platform and community to help navigate adulthood and its life moments, starting with graduation.","Consumer, Education, Human Resources, Information Technology","New York, New York, United States, North America",https://www.realworldplaybook.com,,Seed,"Techstars, Techstars New York City Accelerator"
Seed Round - DocStation,https://www.crunchbase.com/funding_round/docstation-seed--b001b04c,DocStation,https://www.crunchbase.com/organization/docstation,Seed,3100000,USD,3100000,2021-03-31,,,,DocStation connects payers & pharmacists to run value-based programs.,"Electronic Health Record (EHR), Health Care, Health Insurance, Pharmaceutical, Software","Austin, Texas, United States, North America",https://www.docstation.co/,Less than $1M,Seed,"8VC, Cartmell Ventures, Freesolo Ventures, Omega Pharmaceuticals, Techstars, UnityPoint Health Ventures, Wanxiang America Healthcare Investments Group"
Pre Seed Round - ALBA Robot,https://www.crunchbase.com/funding_round/alba-robot-pre-seed--1fa102a3,ALBA Robot,https://www.crunchbase.com/organization/alba-robot,Pre-Seed,,,,2020-08-11,,,,ALBA Robot adds autonomous driving through artificial intelligence to electrical personal vehicles,"Artificial Intelligence, Autonomous Vehicles, Internet, Internet of Things, Medical Device","Torino, Piemonte, Italy, Europe",https://www.alba-robot.com/,,Seed,"Amazon Alexa Fund, Techstars"
Series A - Parabol,https://www.crunchbase.com/funding_round/parabol-series-a--05b619f3,Parabol,https://www.crunchbase.com/organization/parabol,Series A,8000000,USD,8000000,2021-03-02,,,,Agile Meeting Platform,"Collaboration, Computer, SaaS, Software","Alhambra, California, United States, North America",https://parabol.co,Less than $1M,Early Stage Venture,"Almoayed Ventures, CRV, Haystack, M12, Techstars"
Seed Round - Chainalysis,https://www.crunchbase.com/funding_round/chainalysis-seed--4a3517a6,Chainalysis,https://www.crunchbase.com/organization/chainalysis,Seed,,,,2015-07-01,,,,"Chainalysis provides blockchain data and analysis to government agencies, banks, and businesses around the world.","Blockchain, Cryptocurrency, FinTech, Software","New York, New York, United States, North America",https://chainalysis.com,$10M to $50M,Late Stage Venture,"Techstars, Techstars New York City Accelerator"
Seed Round - AdmitHub,https://www.crunchbase.com/funding_round/admithub-seed--98aaa666,AdmitHub,https://www.crunchbase.com/organization/admithub,Seed,250000,USD,250000,2016-12-15,,,,"AdmitHub is a developer of a chatbot platform that increases student engagement, enrollment, and success.","Artificial Intelligence, Education, Information Services, Machine Learning, Mobile Apps, Natural Language Processing, Virtual Assistant","Boston, Massachusetts, United States, North America",https://www.admithub.com/,$1M to $10M,Early Stage Venture,"Alumni Ventures Group, Antoine Hatoun, Bill Lynch, Charles Cheever, Doyle Enterprises, FundersClub, Harvard Innovation Labs, Iron Yard Ventures, Launch LAB, Leonard Lynch, NXT Ventures, Raymond Magliozzi, Reach Capital, Relay Ventures, Right Side Capital Management, Sam Hwang, Startup Next, Techstars, University Ventures, Walter Winshall"
