Organization/Person Name,Organization/Person Name URL,Website,Regions,Full Description,Industries,Industry Groups,Investment Stage,Investor Type,Number of Investments,Location,Contact Email,Phone Number,LinkedIn,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
Y Combinator,https://www.crunchbase.com/organization/y-combinator,http://www.ycombinator.com,"San Francisco Bay Area, Silicon Valley, West Coast","Y Combinator is a startup accelerator that invests in a large number of startups twice a year. It created a new model for funding early-stage startups. Twice a year, the company invests a small amount of money ($150k) in a large number of startups. The startup accelerator works intensively with the companies for three months, to get them into the best possible shape and refine their pitch to investors. Each cycle culminates in Demo Day when the startups present their companies to a carefully selected, invite-only audience.","Accounting, Consulting, Finance, Virtual Currency","Financial Services, Payments, Professional Services, Software","Debt, Early Stage Venture, Seed",Accelerator,"3,394","Mountain View, California, United States",info@ycombinator.com,,https://www.linkedin.com/company/y-combinator/,,,,,,
Techstars,https://www.crunchbase.com/organization/techstars,https://www.techstars.com/,"Greater Denver Area, Western US","Techstars helps entrepreneurs succeed. Through the Techstars Worldwide Entrepreneur Network, founders and their teams connect with other entrepreneurs, experts, mentors, alumni, investors, community leaders, and corporate partners who will help their companies grow. Techstars operates four divisions: Techstars Startup Programs, Techstars Mentorship-Driven Accelerator Programs, Techstars Corporate Innovation Partnerships, and the Techstars Venture Capital Fund. Techstars Mentorship-Driven Accelerator Program supercharges success and Techstars Startup Programs inspire, educate, and connect entrepreneurs. Techstars Venture Capital Fund invests in innovative and disruptive companies. Techstars Corporate Innovation Partnerships help brands create products and services. Techstars accelerator portfolio includes more than 1,000 companies with a market cap of $8.1 billion.","Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments","Debt, Early Stage Venture, Seed","Accelerator, Venture Capital","3,158","Boulder, Colorado, United States",info@techstars.com,303-720-6559,https://www.linkedin.com/company/techstars/,103800000,USD,103800000,103800000,USD,103800000
500 Startups,https://www.crunchbase.com/organization/500-startups,http://500.co,"San Francisco Bay Area, West Coast, Western US","500 Startups is a global venture capital firm with a network of startup programs headquartered in Silicon Valley with over $454M in committed capital across 4 main funds and 15 thematic funds. They have invested in 2,200+ technology startups globally since its inception in 2010 including Twilio (NYSE: TWLO), Credit Karma, SendGrid, Grab, GitLab, Bukalapak, Canva, Udemy, TalkDesk, Intercom, Ipsy, MakerBot (acquired by SSYS), Wildfire (acquired by GOOG), and Viki (acquired by Rakuten).  500 Startups support startups via their Seed Accelerator Programs which emphasize digital marketing, customer acquisition, lean startup practices, and fundraising for pre-Seed companies. It contributes to the development of innovation ecosystems by supporting startups and investors through educational programs, events, conferences, and partnerships with corporations and governments around the world. The team of 150 people based in 20 countries manage venture investments across 74 countries and speak over 25 languages. In addition to investments, they are passionate about helping build viable startup ecosystems around the world and run educational programs, events and conferences, and partnerships globally. Their investment team and mentor network has operational experience at companies such as PayPal, Google, Facebook, Instagram, YouTube, Yahoo, LinkedIn, Twitter, and Apple.","Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments","Early Stage Venture, Seed","Accelerator, Venture Capital","2,527","San Francisco, California, United States",info@500startups.com,,http://www.linkedin.com/company/500-startups,2163000,USD,2163000,2163000,USD,2163000
MassChallenge,https://www.crunchbase.com/organization/masschallenge,https://masschallenge.org/,"Greater Boston Area, East Coast, New England","MassChallenge is the most startup-friendly accelerator on the planet. No equity and not-for-profit, MassChallenge is obsessed with helping the most-promising startups across industries and regions around the world. In addition to providing expert mentorship, tailored curriculum, and unrivaled access to corporate partners, MassChallenge awards top startups with portions of several million dollars in cash prizes.  With accelerators in Boston, Israel, Mexico, Switzerland, Texas, and the UK, MassChallenge strengthens innovation-driven economic development around the world. MassChallenge also runs Bridge to MassChallenge programs in Australia, Columbia, France, Korea, Mexico, Morocco, Poland, Russia, and Spain to drive the creation of high-quality jobs. In 2016, MassChallenge launched PULSE@MassChallenge to accelerate the impact of digital health innovation and improve patient care through technology.     To date, 1,211 MassChallenge alumni have raised over $2 billion in funding, generated approximately $900 million in revenue, and created over 65,000 total jobs. ","Finance, Financial Services, Social Entrepreneurship, Social Impact","Community and Lifestyle, Financial Services, Other",,Accelerator,"2,076","Boston, Massachusetts, United States",contact@masschallenge.org,,https://www.linkedin.com/company/masschallenge,,,,4000000,USD,4000000
New Enterprise Associates,https://www.crunchbase.com/organization/new-enterprise-associates,http://www.nea.com,"San Francisco Bay Area, Silicon Valley, West Coast","New Enterprise Associates, Inc. (NEA) is a global venture capital firm focused on helping entrepreneurs build transformational businesses across multiple stages, sectors, and geographies. With over $19 billion in cumulative committed capital since the firm’s founding in 1977, NEA invests in technology and healthcare companies at all stages in a company’s lifecycle, from seed stage through IPO. The firm's long track record of successful investing includes more than 210 portfolio company IPOs and more than 360 acquisitions.","Consumer, Energy, Health Care, SaaS","Energy, Health Care, Other, Software","Early Stage Venture, Late Stage Venture",Venture Capital,"1,919","Menlo Park, California, United States",kbarrett@nea.com,,https://www.linkedin.com/company/new-enterprise-associates/,,,,,,
SOSV,https://www.crunchbase.com/organization/sosv,https://sosv.com/,"East Coast, Northeastern US","SOSV is a global venture capital firm that operates startup accelerator investment programs. SOSV’s programs are focused on two broad areas. The first is a revolutionary technology that promises the betterment of humanity and the planet. The second is cross-border markets, notably in Asia, that are ripe for explosive growth.  The firm’s strategy is to invest in a small number of highly promising startups and use its deeply resourced programs to accelerate product development, acquire customers, and scale. SOSV companies consistently achieve funding led by top-tier investors. SOSV joins seed, series A, and later rounds while providing founders with ongoing support and community.  The five programs work with 135 new companies each year. At the close of 2020, SOSV had more than 1,000 portfolio companies and $855 million in assets under management. SOSV’s accelerator programs include hardware-oriented HAX and life-science-driven IndieBio. Both offer deep technical expertise on-site as well as well-equipped lab and fabrication facilities. At Chinaccelerator and MOX, market-entry and product development experts help entrepreneurs win cross-border market opportunities across Asia. SOSV’s latest program, dlab, fosters new players in the blockchain ecosystem. Among the top companies in SOSV’s portfolio are NotCo, Perfect Day, Memphis Meats, Yeelight, Opentrons, BitMEX, and API3. Founder Experience  SOSV programs review applications from all over the world, and any pre-seed or seed-stage company is welcome to apply. For most programs, SOSV provides $150,000 - $250,000 in exchange for a small amount of equity. Certain biotech startups may receive as much as $500,000 or more from the Genesis Consortium, a partnership between IndieBio and the Mayfield Fund.  Founders usually spend 4 to 6 months in a uniquely formative cohort experience marked by intensive coaching from on-staff experts (including successful founders), regular workshops led by mentors and guests, and access to technical resources, including labs and other facilities needed for research and product development. No less remarkable than the rapid advances founders make in the programs are the deep and lasting friendships they form with fellow founders and staff. After a program’s completion, the SOSV partners continue working closely with founders to bring on lead investors for follow-on investment. Unlike most accelerator programs, SOSV continues to invest as a major syndicate participant - up to 20% of new rounds - in subsequent seed, series A, and later investments. In a typical year, SOSV aims to invest at least twice as much in follow-on rounds as in the accelerator programs for that year. In 2020, SOSV invested $46 million in post-accelerator rounds; in total, SOSV portfolio companies 2020 raised $1 billion.  In addition to funding, SOSV continues to support the development of founders and their startups long after their programs are complete.  SOSV provides expert legal resources, sales and customer development, and mentorship resources across many disciplines. Founders are also encouraged to tap the 2,000+ SOSV founder network. Background  Managing Partner Sean O’Sullivan founded SOSV in 1995, following the IPO of MapInfo, a startup he co-founded that pioneered computer-based street mapping. O’Sullivan is deeply committed to social betterment through entrepreneurship and technology, a theme that runs deeply through the SOSV portfolio. He has donated millions in SOSV profits to charitable causes, including the Khan Academy and CoderDojo, as well as many other educational and humanitarian efforts. SOSV commits 10% of its carry (SOSV profits from venture investing) to philanthropy.  SOSV is also deeply committed to creating a portfolio rich in founder diversity. In a 2017 TechCrunch / Crunchbase analysis, SOSV was one of only four seed funds with a female founder in 30% or more of portfolio companies. At the end of 2020, 34% of SOSV’s portfolio companies had at least one female founder. Performance and Limited Partners SOSV’s fund performance is consistently in the top quartile of venture funds around the world, according to Cambridge Associates. Among SOSV’s limited partners are corporates, financial institutions, family offices, and high-net-worth individuals from around the world, including Credit Suisse, Tiedemann Advisors, Davy Group, Nan Fung Group, ZX Ventures (the strategic arm of Anheuser-Busch InBev), HP Ventures, and Sumitomo Corp. In SOSV’s Fund IV ($277 million), 50% of the limited partners are located in North America, 25% in Europe, and 20% in Japan and Southeast Asia. SOSV Programs SOSV has seven general partners and 132 staff across nine locations around the world.  SOSV General partners Cyril Ebersweiler and Duncan Turner operate HAX, which Ebersweiler launched in 2012 and has offices in Shenzhen, San Francisco, and Tokyo. HAX invests in approximately 35 startups per year, initially with $250,000, delivered in cash and co-development during a 180-day program. HAX focuses on industry 4.0, healthcare, and consumer. HAX founders have access to an in-house team of engineers, designers, and entrepreneurs with in-depth collective knowledge in robotics, IoT, and manufacturing. HAX provides access to mentors, investors, manufacturers, supply chains, and follow-on capital.  General partner Po Bronson leads IndieBio SF and partner Stephen Chambers leads IndieBio NY.  IndieBio co-founders Bill Liao and Arvind Gupta launched the flagship San Francisco location in 2014 and opened a second office in NYC in 2020. Pre-seed life-science startups receive a $250,000 investment (up to $500,000 or more with Genesis Consortium support) and join a four-month program that provides on-site expertise, access to modern laboratories, and an unparalleled mentor network. The San Francisco and New York programs run two, 15-company classes each per year.  General partner William Bao Bean and partner Oscar Ramos lead Cross Border Internet and Software at SOSV including Chinaccelerator, founded in 2010 by General partner Cyril Ebersweiler, and MOX, founded in 2015, with teams in Shanghai, Taipei, Kuala Lumpur, and New Delhi. Chinaccelerator helps enterprise software startups from around the world enter Asia selling to a network of over 200 multinational corporate partners and helps global startups enter China and local Chinese startups expand to global markets. The program provides US$150,000 investment, a six-month, hands-on program, and perpetual support including perks and advice from a 450-person mentor network.  MOX, the “mobile accelerator,” helps mobile Internet startups from around the world acquire new users for free – the goal is customer acquisition cost zero – and monetize these users to drive higher lifetime value. The network of MOX startups, with 70 million monthly active users, both cross-promote each other and receive free promotion from our network of partners in return for revenue share. MOX helps startups expand into the world’s fastest-growing markets in Southeast Asia, South Asia, Middle East, South America, and Eastern Europe. MOX provides a $150,000 investment, a six-month program, and perpetual support through growth, business development roadshow, and fundraising modules.  General partner Shawn Broderick and partner Nick Plante founded dlab in 2018 to help startups working on decentralized applications and blockchain technology create more open, transparent, and participatory systems. dlab provides $150k of funding to the most promising, early-stage crypto startups. The three-to-six-month program provides founders with access to an extensive mentor network and with hands-on help in areas such as product architecture and design, UI/UX, business development, tokenomics, and fundraising strategies. dlab is based in New York City but works with founders from across the globe in a virtual setting.","Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments","Early Stage Venture, Seed","Accelerator, Micro VC, Venture Capital","1,826","Princeton, New Jersey, United States",hello@sosv.com,,https://www.linkedin.com/company/sosvvc/,,,,,,
Accel,https://www.crunchbase.com/organization/accel,http://www.accel.com,"San Francisco Bay Area, Silicon Valley, West Coast","Accel is an early and growth-stage venture capital firm that powers a global community of entrepreneurs. Accel backs entrepreneurs who have what it takes to build a world-class, category-defining business.  The company brings more than three decades of experience in building and supporting companies. Accel’s vision for entrepreneurship and business enables it to identify and invest in the companies that will be responsible for the growth of next-generation industries. Accel-backed companies include Atlassian, Braintree, Cloudera, DJI, Dropbox, Dropcam, Etsy, Facebook, Flipkart, Lookout Security, MoPub, Qualtrics, Slack, Spotify, Supercell, Vox Media, and others. Arthur Patterson and Jim Swartz founded it in Palo Alto, California in 1983.","Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments","Early Stage Venture, Late Stage Venture, Seed",Venture Capital,"1,560","Palo Alto, California, United States",,650-614-4800,https://www.linkedin.com/company/accel-vc/,,,,,,
Sequoia Capital,https://www.crunchbase.com/organization/sequoia-capital,http://www.sequoiacap.com,"San Francisco Bay Area, Silicon Valley, West Coast","Sequoia is a venture capital focused on energy, financial, enterprise, healthcare, internet, and mobile startups. The firm helps a small number of daring founders build legendary companies. Its spurs them to push the boundaries of what’s possible. The firm seeks to invest in all sectors with a focus on energy, financials and financial services, healthcare and healthcare services, Internet, mobile, outsourcing, and technology. The company was founded by Don Valentine in November 1972 and is based in Menlo Park, California.","Angel Investment, Blockchain, Impact Investing, Venture Capital","Financial Services, Lending and Investments, Other","Early Stage Venture, Late Stage Venture",Venture Capital,"1,486","Menlo Park, California, United States",,1 650 854 3927,http://www.linkedin.com/company/sequoia,,,,,,
Intel Capital,https://www.crunchbase.com/organization/intel-capital,http://www.intelcapital.com/,"San Francisco Bay Area, Silicon Valley, West Coast","Intel Capital invests in innovative startups targeting cloud and AI infrastructure, edge, 5G, autonomy, cybersecurity, client & gaming, enterprise applications, silicon design & manufacturing, and a wide range of other disruptive technologies. Since 1991, Intel Capital has invested US$12.9 billion in more than 1,582 companies worldwide.","Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments","Early Stage Venture, Late Stage Venture, Seed","Corporate Venture Capital, Venture Capital","1,433","Santa Clara, California, United States",Intel.Capital@intel.com,,https://www.linkedin.com/company/intel-capital,,,,,,
Kleiner Perkins,https://www.crunchbase.com/organization/kleiner-perkins-caufield-byers,https://www.kleinerperkins.com/,"San Francisco Bay Area, Silicon Valley, West Coast","Kleiner Perkins is an American venture capital firm specializing in investing in early-stage, growth, and incubation companies. The firm continues that legacy, investing in founders with bold ideas that span industries and continents, partnering with them from inception to IPO and beyond to maximize the potential of their ideas. They also focus on early computer firms using their devices and programming and service companies. It also invests in digital, life sciences, and healthcare industries. Kleiner Perkins was founded in 1972 and is headquartered in Menlo Park, California, United States.","Finance, Financial Services, Incubators, Venture Capital","Financial Services, Lending and Investments","Early Stage Venture, Late Stage Venture",Venture Capital,"1,239","Menlo Park, California, United States",plans@kpcb.com,650.233.0300,https://www.linkedin.com/company/kleiner-perkins/,,,,,,
